epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6692.79,0.91748,1.42017,0.81769,1.12314,0.81557,0.74593,0.78771,0.56374,0.71497,0.65482,0.6328,0.20078,1.03375,1.13285,1.03445,1.03132,0.008713,0.008713,0.008713
41,6857.01,0.90555,1.41748,0.83075,1.12454,0.81131,0.72289,0.77057,0.55736,0.71507,0.63052,0.61195,0.21233,1.03946,1.14661,1.01643,1.07226,0.00868,0.00868,0.00868
42,7021.31,0.91884,1.42297,0.83912,1.13208,0.78,0.70281,0.74837,0.54805,0.699,0.62487,0.60785,0.19352,1.03575,1.1737,1.04061,1.08106,0.008647,0.008647,0.008647
43,7185.54,0.90939,1.40714,0.81652,1.12709,0.72922,0.70299,0.73653,0.52177,0.65836,0.61914,0.5911,0.19375,1.05531,1.16487,1.09454,1.08911,0.008614,0.008614,0.008614
44,7353.1,0.89078,1.40885,0.80405,1.11711,0.81131,0.7598,0.76804,0.55616,0.72953,0.68244,0.64543,0.20845,1.01047,1.15127,1.02921,1.0546,0.008581,0.008581,0.008581
45,7521.14,0.89615,1.39279,0.82631,1.12211,0.8159,0.74297,0.75495,0.55815,0.76241,0.68302,0.64034,0.2048,0.99306,1.12714,1.01468,1.05406,0.008548,0.008548,0.008548
46,7687.93,0.88968,1.40283,0.79169,1.12197,0.80043,0.70683,0.76866,0.57624,0.69124,0.65462,0.62829,0.20044,0.96198,1.15451,1.00468,1.01933,0.008515,0.008515,0.008515
47,7853.18,0.88371,1.4176,0.80373,1.10728,0.77713,0.69076,0.72831,0.54088,0.72178,0.61446,0.59896,0.20014,1.00953,1.13113,1.08717,1.05183,0.008482,0.008482,0.008482
48,8017.24,0.88596,1.39098,0.79918,1.11129,0.81764,0.75502,0.78424,0.57421,0.73621,0.67251,0.65513,0.2139,0.94226,1.11004,0.94175,1.03003,0.008449,0.008449,0.008449
49,8181.22,0.88005,1.40511,0.79493,1.10876,0.77953,0.75502,0.77118,0.58589,0.66203,0.64257,0.57376,0.19984,0.9248,1.16564,0.94821,1.00715,0.008416,0.008416,0.008416
50,8345.3,0.88264,1.38563,0.78678,1.11612,0.80827,0.77878,0.7889,0.57424,0.73792,0.69478,0.65318,0.21095,0.96943,1.13366,0.95992,1.0418,0.008383,0.008383,0.008383
51,8512.33,0.86406,1.38552,0.76906,1.09512,0.84106,0.73494,0.79574,0.59553,0.73642,0.65079,0.62805,0.22116,0.94796,1.14193,0.95595,1.01879,0.00835,0.00835,0.00835
52,8680.92,0.87716,1.40079,0.78957,1.10651,0.81004,0.75502,0.76897,0.58657,0.70663,0.65863,0.60095,0.20781,0.95586,1.16769,0.95794,1.03982,0.008317,0.008317,0.008317
53,8847.71,0.8753,1.39869,0.77859,1.1094,0.72931,0.77108,0.77026,0.58377,0.65237,0.69076,0.60886,0.19816,0.93299,1.14581,0.95,0.98901,0.008284,0.008284,0.008284
54,9013.13,0.87491,1.40081,0.77014,1.10718,0.84117,0.72289,0.75423,0.57023,0.74786,0.63052,0.62105,0.19238,0.97453,1.18045,0.95177,1.04694,0.008251,0.008251,0.008251
55,9177.46,0.85874,1.3851,0.75551,1.09628,0.84336,0.72289,0.77597,0.58227,0.75515,0.64659,0.63467,0.20384,0.98125,1.1399,0.93742,1.02156,0.008218,0.008218,0.008218
56,9342.01,0.86306,1.38126,0.76238,1.09713,0.88701,0.74297,0.82157,0.60818,0.8007,0.67068,0.69232,0.22047,0.97001,1.14484,0.92471,1.02458,0.008185,0.008185,0.008185
57,9507.15,0.85949,1.38935,0.76846,1.09838,0.79989,0.73092,0.77566,0.59162,0.7652,0.62824,0.64486,0.21298,0.92103,1.15032,0.977,1.01646,0.008152,0.008152,0.008152
58,9674.83,0.85804,1.37677,0.75371,1.09712,0.82836,0.71888,0.76606,0.55706,0.73968,0.64257,0.63079,0.1977,0.97425,1.11851,1.03118,1.03874,0.008119,0.008119,0.008119
59,9842.98,0.86131,1.38819,0.76367,1.10254,0.80281,0.75904,0.78484,0.597,0.7324,0.69247,0.66101,0.20834,0.92363,1.13314,0.94974,0.98799,0.008086,0.008086,0.008086
60,10010.4,0.84937,1.38805,0.7525,1.09563,0.87602,0.72289,0.7992,0.61938,0.79591,0.67068,0.67282,0.22119,0.90917,1.11652,0.89638,0.98122,0.008053,0.008053,0.008053
61,10175.8,0.86326,1.38463,0.74193,1.09791,0.83631,0.74297,0.80562,0.6089,0.77302,0.68675,0.67896,0.21246,0.93265,1.13502,0.92649,0.99919,0.00802,0.00802,0.00802
62,10339.5,0.85686,1.37288,0.76661,1.09384,0.82838,0.73896,0.78875,0.60437,0.78353,0.67068,0.66285,0.21853,0.93492,1.11808,0.91746,1.01858,0.007987,0.007987,0.007987
63,10504.1,0.8531,1.36681,0.74401,1.09881,0.78434,0.74493,0.77363,0.58175,0.70447,0.67012,0.64343,0.19686,0.97164,1.11688,0.93283,1.03027,0.007954,0.007954,0.007954
64,10668.3,0.86017,1.40484,0.75208,1.09504,0.86445,0.74699,0.805,0.59954,0.75759,0.65266,0.64427,0.21661,0.93109,1.15553,0.92681,1.00261,0.007921,0.007921,0.007921
65,10835.4,0.84715,1.37577,0.76639,1.09051,0.808,0.76707,0.79817,0.59285,0.70436,0.6747,0.62722,0.22152,0.95924,1.14688,0.91314,1.03227,0.007888,0.007888,0.007888
66,11003.6,0.8506,1.37961,0.74418,1.09394,0.82443,0.71662,0.78196,0.59193,0.73282,0.63855,0.63835,0.21386,0.93199,1.14225,0.93492,1.02326,0.007855,0.007855,0.007855
67,11169.9,0.83898,1.37311,0.72265,1.08483,0.79686,0.72289,0.78227,0.58325,0.72551,0.65863,0.66026,0.21954,0.95183,1.13806,0.96437,1.02506,0.007822,0.007822,0.007822
68,11335.7,0.84846,1.37385,0.74562,1.08355,0.81312,0.72691,0.7905,0.59174,0.73225,0.65462,0.65158,0.20917,0.92841,1.12493,0.94911,1.01454,0.007789,0.007789,0.007789
69,11499.6,0.82987,1.36879,0.72808,1.09067,0.80875,0.75904,0.79686,0.6032,0.7452,0.72289,0.69146,0.20958,0.918,1.14189,0.91619,0.99715,0.007756,0.007756,0.007756
70,11664.3,0.82932,1.36316,0.71949,1.07637,0.80632,0.77108,0.77909,0.58684,0.70973,0.67871,0.61691,0.21583,0.92192,1.109,0.92983,1.0137,0.007723,0.007723,0.007723
71,11829,0.83837,1.37558,0.73988,1.08981,0.7953,0.73334,0.78552,0.58333,0.71387,0.68675,0.6603,0.21211,0.9654,1.12218,0.95895,1.05075,0.00769,0.00769,0.00769
72,11994.9,0.82559,1.37792,0.72379,1.08076,0.83224,0.751,0.77054,0.58363,0.77509,0.69076,0.66052,0.21063,0.92748,1.12526,0.91384,0.99684,0.007657,0.007657,0.007657
73,12163.1,0.83752,1.36494,0.73484,1.08019,0.80889,0.751,0.75623,0.5781,0.74659,0.68625,0.64965,0.21017,0.92147,1.13954,0.91442,0.98191,0.007624,0.007624,0.007624
